,Gender,Age,Frequency,Device,Genres,L_Fun,L_Competency,L_Break,L_Education,L_Fitness,L_Community,L_Professional,L_Challenge,L_Socialize
554,Female,18-24,Less than 3 hours a week,Smartphone,Adventure,5,5,6,7,7,7,6,6,7
556,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Music, dance or party",4,4,2,4,4,3,3,3,3
557,Female,18-24,Less than 3 hours a week,Smartphone,Strategy;Board or card game;Educational;Logic game,6,4,4,2,1,2,1,6,1
558,Female,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure;Role-playing,7,3,5,2,1,2,1,5,2
559,Female,18-24,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Simulation;Action;Adventure;MMO;Strategy;Role-playing;Music, dance or party;Board or card game",7,3,7,3,1,4,1,6,6
560,Female,18-24,Less than 3 hours a week,Smartphone;PC/Laptop,Simulation;Puzzle;Logic game,7,5,7,3,3,6,2,6,6
561,Male,18-24,10-14 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Battle Royale,7,7,4,7,5,6,7,6,5
562,Female,18-24,3-5 hours a week,Smartphone;PC/Laptop,Simulation;Puzzle;Logic game,6,2,6,3,1,3,1,4,1
563,Male,18-24,10-14 hours a week,"Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Action;Adventure;MMO;Role-playing,6,3,7,5,1,1,1,5,3
564,Male,18-24,3-5 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Action;Adventure,7,3,5,3,1,1,1,5,1
565,Female,18-24,3-5 hours a week,PC/Laptop,Simulation,4,1,1,1,1,1,1,1,1
566,Female,25-29,10-14 hours a week,"PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Simulation;Action;Adventure;Role-playing,7,3,4,2,1,2,1,4,1
567,Female,18-24,3-5 hours a week,Smartphone,Logic game,5,3,3,4,4,4,4,2,3
568,Male,>45,15-19 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)","Arcade;Simulation;Puzzle;Action;Adventure;Strategy;Music, dance or party;Logic game",7,7,7,5,1,4,2,7,5
569,Female,18-24,Less than 3 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Arcade;Action;Strategy;Racing,6,2,6,2,1,1,1,3,1
570,Male,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)",Simulation;Action;Racing;Sports,7,6,7,6,1,6,1,6,5
571,Female,18-24,Less than 3 hours a week,"Smartphone;PC/Laptop;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch);Portable Console (PSP, PS Vita, Nintendo 3DS / DS)","Arcade;Adventure;Strategy;Sports;Music, dance or party;Logic game",6,3,6,5,4,2,1,5,2
572,Male,18-24,10-14 hours a week,"Smartphone;Gaming Console (Playstation, Xbox or Nintendo Wii / U / Switch)",Arcade;Simulation;Action;Sports,7,3,3,4,1,2,2,2,3
